2020-01-13T07:12:00.000 ps1::g 19.177776 0.27055845
2020-01-13T07:12:00.000 ps1::r 18.910126 0.54305094
2020-01-13T07:12:00.000 ps1::i 18.191124 0.21711498
2020-01-13T07:12:00.000 ps1::z 18.998749 0.27393228
2020-01-13T07:12:00.000 ps1::y 18.878403 0.31293133
2020-01-15T07:12:00.000 ps1::g 19.644978 0.28580794
2020-01-15T07:12:00.000 ps1::r 18.812508 0.32742006
2020-01-15T07:12:00.000 ps1::i 18.889395 0.3151971
2020-01-15T07:12:00.000 ps1::z 19.430399 0.32631582
2020-01-15T07:12:00.000 ps1::y 20.213058 0.3564894
